abstract_num,title,cluster_label,mentions,mention_count
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] the source domain,the source domain,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] our novel Target-Domain Aware Self-Training paradigm,our novel Target-Domain Aware Self-Training paradigm,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] informative pseudo-labels,informative pseudo-labels,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] the fast-changing label distributions,the fast-changing label distributions,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] Extensive experiments,Extensive experiments,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] test-time FNVD,test-time FNVD,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[singleton] unseen fake news video topics,unseen fake news video topics,1
2,Nip Rumors in the Bud: Retrieval-Guided Topic-Level Adaptation for Test-Time Fake News Video Detection,[self-reference],we; we; We; our,4
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,the pre-trained semantic segmentation model,a given pre-trained semantic segmentation model; the model; the model; a given pre-trained model,4
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,source domain representations,any source domain representations; any source domain representations; source domain representations,3
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,Unsupervised BatchNorm Adaptation method,our novel Unsupervised BatchNorm Adaptation method; which adapts; which can also be applied; this,4
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,the target domain,an unseen target domain; the target domain; the target domain; the target domain,4
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] Previous UDA approaches for semantic segmentation,Previous UDA approaches for semantic segmentation,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] the source and target domains,the source and target domains,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] an additional network,an additional network,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] the existing model parameters from pre-training,the existing model parameters from pre-training,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] an online setting,an online setting,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] a few unlabeled images,a few unlabeled images,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] the normalization layer statistics,the normalization layer statistics,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] an exponentially decaying momentum factor,an exponentially decaying momentum factor,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] the statistics from both domains,the statistics from both domains,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] standard UDA benchmarks for semantic segmentation,standard UDA benchmarks for semantic segmentation,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] a model without adaptation,a model without adaptation,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] baseline approaches,baseline approaches,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[singleton] standard UDA approaches,standard UDA approaches,1
3,Unsupervised BatchNorm Adaptation (UBNA): A Domain Adaptation Method for Semantic Segmentation Without Using Source Domain Representations,[self-reference],we; we; our; we; we,5
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,Semi-supervised domain adaptation,Semi-supervised domain adaptation; its,2
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,the target domain,the target domain; the target domain; the target domain; the target domain,4
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,SERL (semantic regularization learning),a novel SSDA learning framework called semantic regularization learning; SERL; SERL method,3
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,semantic probability contrastive regularization (SPCR),semantic probability contrastive regularization; SPCR,2
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,the model,the model; the model; the model,3
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] existing methods,existing methods,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] the source pre-trained model,the source pre-trained model,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] three robust semantic regularization techniques,three robust semantic regularization techniques,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] adaptive weights,adaptive weights,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] hard-sample mixup regularization,hard-sample mixup regularization,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] easy samples,easy samples,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] hard samples,hard samples,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] target prediction regularization,target prediction regularization,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] erroneous pseudo-labels,erroneous pseudo-labels,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] three benchmark datasets,three benchmark datasets,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[singleton] state-of-the-art performance,state-of-the-art performance,1
4,Source-free Semantic Regularization Learning for Semi-supervised Domain Adaptation,[self-reference],we propose; we introduce; our,3
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,low-rank and orthogonal adaptation techniques,both low-rank and orthogonal adaptation techniques; these two techniques,2
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,Householder reflection adaptation (HRA) method,a simple but effective adaptation method; our method; This HR based orthogonal fine-tuning; the proposed Householder reflection adaptation method; HRA,5
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,pre-trained model,a pre-trained model; its,2
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,Householder reflections (HRs),Householder reflections; a chain of learnable Householder reflections; the HRs; the HRs,4
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] large-scale pre-training models,large-scale pre-training models,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] a small piece of trainable parameters,a small piece of trainable parameters,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] each frozen weight matrix,each frozen weight matrix,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] an orthogonal matrix,an orthogonal matrix,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] an adaptive low-rank adaptation,an adaptive low-rank adaptation,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] the reflection planes,the reflection planes,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] the model capacity and regularity,the model capacity and regularity,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] state-of-the-art methods,state-of-the-art methods,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] fewer learnable parameters,fewer learnable parameters,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] large language models,large language models,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[singleton] conditional image generators,conditional image generators,1
5,Bridging The Gap between Low-rank and Orthogonal Adaptation via Householder Reflection Adaptation,[self-reference],we; our; we; us,4
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,Deep learning,Deep learning; its,2
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,MU-SHOT-Fi,MU-SHOT-Fi; a source-free unsupervised domain adaptation framework for singleand multi-user Wi-Fi sensing; MU-SHOT-Fi; MU-SHOT-Fi,4
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] WiFi CSI based human activity recognition,WiFi CSI based human activity recognition,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] DL based models,DL based models,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] labeled source data,labeled source data,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] unlabeled target-domain CSI,unlabeled target-domain CSI,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] a pre-trained source model,a pre-trained source model,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] permutation-invariant set prediction,permutation-invariant set prediction,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] Hungarian matching,Hungarian matching,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] frozen-classifier backbone adaptation,frozen-classifier backbone adaptation,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] occupancy-weighted information maximization,occupancy-weighted information maximization,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] model collapse,model collapse,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] diversity regularization,diversity regularization,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] marginal entropy,marginal entropy,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] binary rotation prediction,binary rotation prediction,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] domain-invariant features,domain-invariant features,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] SU-SHOT-Fi,SU-SHOT-Fi,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] standard information maximization,standard information maximization,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] contrastive predictive coding,contrastive predictive coding,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] the WiMANS and Widar 3.0 datasets,the WiMANS and Widar 3.0 datasets,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[singleton] occupancy estimation,occupancy estimation,1
6,MU-SHOT-Fi: Self-Supervised Multi-User Wi-Fi Sensing with Source-free Unsupervised Domain Adaptation,[self-reference],we; we; we; we,4
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,models trained by current methods,their models; them,2
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,real scenes,real scenes; real scenes,2
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,GTA-SF dataset,a large-scale synthetic scene flow dataset GTA-SF; our GTA-SF dataset,2
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,mean-teacher based domain adaptation framework,a mean-teacher based domain adaptation framework; It; our framework,3
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] Point cloud scene flow estimation,Point cloud scene flow estimation,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] dynamic scene navigation in autonomous driving,dynamic scene navigation in autonomous driving,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] scene flow labels,scene flow labels,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] current methods,current methods,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] synthetic data,synthetic data,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] existing synthetic datasets,existing synthetic datasets,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] poor model transfer,poor model transfer,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] two major contributions,two major contributions,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] a point cloud collector and scene flow annotator for GTA-V engine,a point cloud collector and scene flow annotator for GTA-V engine,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] diverse realistic training samples,diverse realistic training samples,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] self-generated pseudo-labels of the target domain,self-generated pseudo-labels of the target domain,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] shape deformation regularization,shape deformation regularization,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] surface correspondence refinement,surface correspondence refinement,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] distortions and misalignments in domain transfer,distortions and misalignments in domain transfer,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] three real datasets,three real datasets,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] the most widely used FT3D dataset,the most widely used FT3D dataset,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] six source-target dataset pairs,six source-target dataset pairs,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[singleton] the average domain gap,the average domain gap,1
7,Deformation and Correspondence Aware Unsupervised Synthetic-to-Real Scene Flow Estimation for Point Clouds,[self-reference],We; we; we; we; we; our; our,7
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,the low-resource domain adaptation track,the low-resource domain adaptation track in Spoken Language Understanding Grand Challenge; which; the track,3
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,ASR,ASR; ASR,2
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,NLU,NLU; NLU,2
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,masked LM (MLM),masked LM (MLM); MLM,2
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] our system,our system,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] ICASSP Signal Processing Grand Challenge 2023,ICASSP Signal Processing Grand Challenge 2023,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] a pipeline approach of ASR and NLU,a pipeline approach of ASR and NLU,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] Whisper,Whisper,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] BART,BART,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] all the Track3 data,all the Track3 data,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] low-resource domain data,low-resource domain data,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] a retrieval based approach,a retrieval based approach,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] model input,model input,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] similar training samples,similar training samples,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] exact match accuracy 63.3/75.0,exact match accuracy 63.3/75.0,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] reminder/weather domain,reminder/weather domain,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] the 1st place,the 1st place,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[singleton] the challenge,the challenge,1
8,The Pipeline System of ASR and NLU with MLM based Data Augmentation toward STOP Low-resource Challenge,[self-reference],our; we; we; we; We; We; we,7
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,Qwen2.5-3B-Instruct and Qwen3-4B (the two fine-tuned models),Qwen2.5-3B-Instruct and Qwen3-4B; Both models; the two models; both models,4
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct; Qwen2.5,2
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,Qwen3-4B,Qwen3-4B; Qwen3,2
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,LoRA fine-tuning,LoRA fine-tuning; LoRA fine-tuning; LoRA adaptation,3
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,"RadLite (small, efficiently fine-tuned models)","small, efficiently fine-tuned models; RadLite",2
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,consumer hardware,consumer hardware; consumer hardware,2
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] Large language models,Large language models,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] consumer-grade CPUs,consumer-grade CPUs,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] 162K samples,162K samples,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] 9 radiology tasks,9 radiology tasks,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] RADS classification across 10 systems,RADS classification across 10 systems,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] impression generation,impression generation,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] temporal comparison,temporal comparison,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] radiology NLI,radiology NLI,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] NER,NER,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] abnormality detection,abnormality detection,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] N/M staging,N/M staging,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] radiology Q&A,radiology Q&A,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] 12 public datasets,12 public datasets,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] 500 held-out test samples per task,500 held-out test samples per task,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] standardized metrics,standardized metrics,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] zero-shot baselines,zero-shot baselines,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] structured generation tasks,structured generation tasks,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] extractive tasks,extractive tasks,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] a task-outed oracle ensemble,a task-outed oracle ensemble,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] few-shot prompting,few-shot prompting,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] in-context learning,in-context learning,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] GGUF format,GGUF format,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] 4-8 tokens/second,4-8 tokens/second,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] GPU requirements,GPU requirements,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[singleton] practical multi-task radiology AI assistants,practical multi-task radiology AI assistants,1
9,RadLite: Multi-Task LoRA Fine-Tuning of Small Language Models for CPU-Deployable Radiology AI,[self-reference],We; We; Our; we; Our,5
10,Multi-Target Domain Adaptation via Unsupervised Domain Classification for Weather Invariant Object Detection,the proposed unsupervised domain classification method,a novel unsupervised domain classification method; which; it; our proposed method,4
10,Multi-Target Domain Adaptation via Unsupervised Domain Classification for Weather Invariant Object Detection,Cityscapes dataset,Cityscapes dataset; its,2
10,Multi-Target Domain Adaptation via Unsupervised Domain Classification for Weather Invariant Object Detection,[singleton] Object detection,Object detection,1
10,Multi-Target Domain Adaptation via Unsupervised Domain Classification for Weather Invariant Object Detection,[singleton] autonomous driving,autonomous driving,1
10,Multi-Target Domain Adaptation via Unsupervised Domain Classification for Weather Invariant Object Detection,[singleton] the weather of the training images,the weather of the training images,1
10,Multi-Target Domain Adaptation via Unsupervised Domain Classification for Weather Invariant Object Detection,[singleton] test images,test images,1
10,Multi-Target Domain Adaptation via Unsupervised Domain Classification for Weather Invariant Object Detection,[singleton] Domain adaptation,Domain adaptation,1
10,Multi-Target Domain Adaptation via Unsupervised Domain Classification for Weather Invariant Object Detection,[singleton] the domain shift problem,the domain shift problem,1
10,Multi-Target Domain Adaptation via Unsupervised Domain Classification for Weather Invariant Object Detection,[singleton] most existing domain adaptation methods,most existing domain adaptation methods,1
